"FPR","TPR"
0,0
0.000550076568916069,0.0221061448818421
0.00451759716100754,0.039820071266953
0.00936934716987472,0.0564030671409296
0.0144818235162711,0.0726537176849956
0.0198351139262088,0.0886023085647065
0.0253085002386362,0.104394689169447
0.0309990547892441,0.119911310819395
0.0368912211139797,0.135169707320922
0.0429451746648671,0.150212916198766
0.0491186018596819,0.165105493740033
0.0553953239758091,0.179870552689487
0.0617037812786045,0.194590980131806
0.0681460241722561,0.209144039422373
0.0713743015925463,0.216276313660668
0.0779652642825452,0.230639689045914
0.0846819232020928,0.244842072208997
0.091468275080598,0.258958380322606
0.0984002354626399,0.272887395504491
0.105409355906385,0.286721568733716
0.112465768000851,0.300493576649433
0.119746193177682,0.313975479768777
0.126949458292809,0.327557006787974
0.134290242550165,0.340963195743429
0.141754234002821,0.354211580441517
0.149315920049731,0.367328461591799
0.155413431699967,0.377608851065458
0.163102058493549,0.390564739993576
0.170950605737597,0.403315005192398
0.178890624990277,0.415952097640986
0.186829399725833,0.428592378054369
0.194905693603618,0.441057320404011
0.203140663414743,0.453312654068361
0.211396167758419,0.46554885994394
0.219728832163798,0.477685441919665
0.228124344683952,0.489734354863519
0.236677910878884,0.501583223016468
0.245303659067023,0.513340437181552
0.253946830494901,0.525084899487455
0.257830346181106,0.530217522807896
0.266663928728993,0.541718105806958
0.275512445482372,0.553194779070055
0.284462390381376,0.564541542767743
0.293516252460255,0.575752817961631
0.30275679210777,0.586724995795871
0.312040889854634,0.597642978228591
0.321346766651172,0.608533862960551
0.3307727393502,0.619268537417541
0.340317563434593,0.629846204608362
0.34994825920056,0.640314684004945
0.359707762488885,0.650621374188165
0.365633530775975,0.656863409257372
0.375597134872677,0.666914265265769
0.385530870558396,0.676997000922119
0.395579724078108,0.686931496215487
0.405755518344494,0.696701811321898
0.41596989264173,0.706424306956378
0.426314318978451,0.715979434439105
0.436729060532691,0.725442907933968
0.447356614515177,0.734635404421229
0.458093686004596,0.743682848510304
0.467566950354345,0.751651166516168
0.478367492217101,0.760623693432553
0.489275684811104,0.76945276193315
0.500330730425768,0.778093740510824
0.511485337410371,0.786615170408673
0.52282039937799,0.794899893920471
0.53418781879084,0.803144767872328
0.5456815566918,0.811224664646028
0.55731903632061,0.819124441408793
0.568987006618964,0.826985962594015
0.580827342539026,0.834623529252366
0.592601096792942,0.842339998039402
0.604598864129221,0.849774331942052
0.614143688213614,0.85561548043825
0.626384136389121,0.862742175738153
0.638822462787382,0.869612239872035
0.651296880182247,0.876436078516385
0.663731473029136,0.883314112562255
0.676394434768324,0.889907620750144
0.6890773087815,0.896464467342887
0.702038954630506,0.902665855860954
0.715072782472719,0.908773996408758
0.728130256140292,0.914859024211796
0.741296002797674,0.92080378156384
0.754663361229185,0.926491110758664
0.768128414254948,0.932058891273664
0.768949795556949,0.932362544920416
0.782537433519451,0.937766942239657
0.796249523194377,0.943012738310331
0.810067396824864,0.948125436850801
0.824014700236272,0.953074752195512
0.838049742104939,0.957909300807591
0.852182478567859,0.962623503748648
0.866434688674708,0.96719185730032
0.880842463422086,0.971556181105092
0.895397091190125,0.97574038489893
0.910069948084968,0.979772363373791
0.92485978958949,0.983665665380057
0.939797728631797,0.987370080472201
0.954878164884829,0.990891984579814
0.970129722242446,0.994193122125352
0.985719788257856,0.997043959643554
1,1
1,1
